ts,best_bid,best_bid_qty,best_ask,best_ask_qty,mid,future_mid_horizon_5
0,9999,82,10001,14,10000.0,10011.0
1,10000,89,10004,57,10002.0,10014.0
2,10000,58,10006,34,10003.0,10014.0
3,10006,79,10008,24,10007.0,10017.0
4,10007,114,10009,19,10008.0,10014.0
5,10010,115,10012,32,10011.0,10014.0
6,10013,116,10015,28,10014.0,10013.0
7,10012,148,10016,42,10014.0,10016.0
8,10015,31,10019,60,10017.0,10018.0
9,10013,85,10015,113,10014.0,10019.0
10,10012,60,10016,84,10014.0,10018.0
11,10012,138,10014,55,10013.0,10020.0
12,10015,99,10017,52,10016.0,10019.0
13,10017,154,10019,39,10018.0,10016.0
14,10018,76,10020,66,10019.0,10010.0
15,10017,46,10019,40,10018.0,10007.0
16,10017,43,10023,53,10020.0,10003.0
17,10018,26,10020,176,10019.0,10001.0
18,10015,52,10017,113,10016.0,9995.0
19,10009,17,10011,113,10010.0,9993.0
20,10004,28,10010,88,10007.0,9995.0
21,10002,50,10004,88,10003.0,9996.0
22,10000,113,10002,65,10001.0,9994.0
23,9994,45,9996,88,9995.0,9996.0
24,9991,92,9995,120,9993.0,9999.0
25,9993,38,9997,102,9995.0,10001.0
26,9993,149,9999,60,9996.0,10003.0
27,9993,168,9995,8,9994.0,10005.0
28,9994,47,9998,34,9996.0,10009.0
29,9997,111,10001,16,9999.0,10012.0
30,10000,93,10002,90,10001.0,10010.0
31,10001,195,10005,8,10003.0,10007.0
32,10004,160,10006,15,10005.0,10007.0
33,10007,100,10011,8,10009.0,10010.0
34,10011,102,10013,52,10012.0,10012.0
35,10009,121,10011,70,10010.0,10011.0
36,10006,47,10008,65,10007.0,10008.0
37,10006,107,10008,22,10007.0,10007.0
38,10009,192,10011,8,10010.0,10008.0
39,10011,73,10013,15,10012.0,10007.0
40,10010,69,10012,56,10011.0,10001.0
41,10007,73,10009,84,10008.0,10000.0
42,10006,60,10008,121,10007.0,10001.0
43,10007,53,10009,74,10008.0,10003.0
44,10006,106,10008,108,10007.0,10004.0
45,10000,98,10002,98,10001.0,10006.0
46,9999,80,10001,94,10000.0,10008.0
47,10000,24,10002,82,10001.0,10008.0
48,10002,76,10004,76,10003.0,10007.0
49,10003,115,10005,25,10004.0,10010.0
50,10005,59,10007,95,10006.0,10010.0
51,10007,42,10009,56,10008.0,10008.0
52,10007,116,10009,68,10008.0,10005.0
53,10006,52,10008,46,10007.0,10004.0
54,10009,48,10011,146,10010.0,10002.0
55,10009,64,10011,60,10010.0,10003.0
56,10005,8,10011,194,10008.0,10006.0
57,10004,44,10006,66,10005.0,10008.0
58,10003,62,10005,84,10004.0,10009.0
59,10001,118,10003,41,10002.0,10007.0
60,10002,138,10004,25,10003.0,10008.0
